id	marque	designation	annee	km	prix
755	audi	AUDI A3 SPORTBACK 2.0 TDI 140 CV - 49 000 kms	2006	49000	17900
756	renault	Renault scenic ii 1.9 dci 120 ch confort expressio	2004	70000	9500
757	renault	Renault scenic dci 120cv sport dynamique ct vierge	2004	78000	8990
758	renault	Renault Espace IV Privilège - 2.2 L DCI 150 ch	2004	115000	11500
759	mini	Grand c4 piccasso eclisive pack plus	2008	71000	21000
760	fiat	Peugeot 407 noir	2009	23000	22000
761	audi	Audi A3 Ambition 2.0l tdi 140cv 6 Vitesses	2005	45000	19000
762	renault	Scenic 2 privilege 1.9 dci 130cv 7 places gtie 1an	2006	50000	13990
763	renault	Grand espace iv alyum plus	2008	40000	24500
764	fiat	"Fiat bravo 2.0l hgt pack sport ""echange possible"""	2000	138000	3900
765	renault	Grand renault espace 3	2001	131000	6900
766	renault	Renault Scenic II 1.9 DCI 120 CH LUXE	2005	100877	9700
767	audi	Audi A3 sportback	2007	34000	17500
768	renault	Renault MEGANE II Luxe Privilege	2003	110000	12400
769	peugeot	Peugeot 407 &virgule; 2.2 hdi	2005	163000	7900
770	renault	Renault megane 1.9 dci	2006	144000	7800
771	audi	Audi A4 s-line serie limitée	2003	227500	9990
772	renault	CLIO 3 2.0 140 ch EXCEPTION BVA 3 p / ttes options	2008	18000	12750
773	opel	Zafira 1.9 cdti 100 ch Enjoy	2006	89303	11990
774	fiat	Fiat grande punto 1.9 mjt 130cv sport	2007	52000	10000
775	volkswagen	VW New Beetle 1.9TDI / Noire / Pack Sunsea / 105ch	2007	50560	13000
776	audi	AUDI Q5 2.0 TDI 170 Cv CUIR 2009 NOIR	2009	28200	39200
777	audi	Audi a 4 1.9tdi 130ch	2002	204000	7200
778	volkswagen	TOURAN SPORT TDI 140ch 7 places	2008	47500	23000
779	volkswagen	Volkswagen passat business line 2 - tdi 130 ch	2004	168000	7600
780	nissan	4x4 nissan x-trail	2004	88000	12500
781	audi	Audi A4 Break&virgule; 1.9 TDI 130 BV6&virgule; Excellent état	2004	162000	9900
782	renault	Renault laguna estate 1.9dci 120ch impulsion	2004	96000	9800
783	peugeot	Peugeot 307 2.0hdi 90ch x-line 5 portes	2004	123000	8500
784	peugeot	Voiture 406 hdi 110 ch année 1999 st	1999	275000	3700
785	skoda	Skoda Fabia RS 1.9L TDI 175ch	2005	115000	10000
786	renault	Renault scenic 1.9 dci confort expression	2003	133780	9300
787	citroen	Citroen xsara picasso pack clim. 2.0l hdi rouge 90	2001	149200	6200
